sep=;
Vuelta;Insertion;Selection;Merge;Quick
1;0.072261753;0.101540515;0.001295296;0.001101941
2;0.067595021;0.097155757;0.00129937;0.001107987
3;0.061894962;0.107980128;0.001823084;0.001860698
4;0.085161119;0.10323189;0.00127159;0.001095762
5;0.068781368;0.101523056;0.001296589;0.001140131
6;0.06536877;0.103107534;0.001265337;0.001075607
7;0.068973905;0.102996083;0.001241537;0.001080612
8;0.063876353;0.099418983;0.0013069;0.001117944
9;0.064533121;0.094397237;0.001160988;0.001038063
10;0.062852775;0.097925384;0.001226942;0.001054998
11;0.060530058;0.095993832;0.001162767;9.97682E-4
12;0.06396131;0.10125446;0.001279754;0.001109141
13;0.068691461;0.206761796;0.001855131;0.001828205
14;0.070822371;0.097956201;0.001225269;0.001042483
15;0.061551004;0.104262057;0.001335259;0.001113647
16;0.062616566;0.098038462;0.001261571;0.001186284
17;0.059950783;0.096150967;0.001308766;0.001093403
18;0.065089621;0.098590566;0.001271193;0.001093455
19;0.068054316;0.09806888;0.00125002;0.00115565
20;0.059348371;0.099449113;0.001201117;0.001097781
21;0.065128649;0.100106045;0.001195708;0.001056101
22;0.059498059;0.100287699;0.001238524;0.001093894
23;0.059346645;0.091507295;0.001211232;0.001088343
24;0.066258711;0.09847867;0.001204464;0.001096867
25;0.06817154;0.099858868;0.001269376;0.001123398
26;0.069374546;0.102557992;0.001241429;0.001072672
27;0.063525346;0.099546932;0.001212619;0.001053213
28;0.063318576;0.094031005;0.001280731;0.001119211
29;0.067948913;0.094530846;0.001235834;0.00106131
30;0.06365401;0.096263595;0.001212901;0.001089806
31;0.06144091;0.098023173;0.001165299;0.001049093
32;0.060755872;0.094074318;0.001206661;0.001054196
33;0.063457079;0.09505959;0.00149929;0.001321196
34;0.068606889;0.094833308;0.001229493;0.001156407
35;0.067298864;0.093859958;0.00126374;0.001086561
36;0.067030331;0.098884815;0.001136874;0.001020854
37;0.059195609;0.097715815;0.001216986;0.001130629
38;0.060852634;0.099138105;0.001304759;0.001129738
39;0.064372945;0.095069968;0.001109914;9.84536E-4
40;0.0607098;0.093345679;0.001229821;0.001032569
41;0.062355546;0.131412821;0.001282548;0.001128942
42;0.066945224;0.098240905;0.001270974;0.001088383
43;0.064969919;0.096946137;0.001214511;0.001048976
44;0.062017996;0.092885141;0.00128262;0.001073637
45;0.071222822;0.09612078;0.001204756;0.001074367
46;0.065095519;0.092269892;0.001215023;0.001095124
47;0.064063545;0.095086055;0.001294184;0.001127553
48;0.063500228;0.10397869;0.001323279;0.001124978
49;0.069930562;0.101280109;0.001311439;0.001118126
50;0.063240142;0.093594628;0.001298425;0.001116444
51;0.068689144;0.103658261;0.002217002;0.001402626
52;0.064379766;0.099881952;0.001313411;0.001160865
53;0.063140209;0.09685802;0.001297382;0.001140743
54;0.063600005;0.094679854;0.001277228;0.001114568
55;0.066728414;0.097985032;0.00125759;0.001060311
56;0.068350417;0.10065013;0.001263454;0.001095699
57;0.062396109;0.09620617;0.001284978;0.001213493
58;0.060656124;0.092236125;0.001165324;0.001054747
59;0.062141471;0.096200431;0.001304095;0.001130442
60;0.077961197;0.099138835;0.001292443;0.001092235
61;0.061192821;0.09814984;0.001121666;9.79149E-4
62;0.058458632;0.102936786;0.001936527;0.001747899
63;0.072328311;0.107671606;0.001483286;0.001263588
64;0.064279578;0.094860588;0.001269513;0.001120472
65;0.060568699;0.096368599;0.001240658;0.001106453
66;0.063873283;0.103458831;0.00124207;0.0010895
67;0.064315496;0.098695982;0.00127265;0.001120983
68;0.067993301;0.104425069;0.001275007;0.001141364
69;0.071169179;0.098608627;0.001243157;0.001111645
70;0.065003197;0.172517593;0.002209391;0.001933183
71;0.084327013;0.09811984;0.00123112;0.001130072
72;0.06473736;0.117014067;0.001293376;0.001133442
73;0.068589264;0.127117697;0.001337054;0.0011804
74;0.06967246;0.154395632;0.001274692;0.001139614
75;0.068857522;0.135754246;0.001318208;0.001236535
76;0.063521559;0.102331637;0.001280707;0.001141195
77;0.061813599;0.102427385;0.001272693;0.001146228
78;0.071601158;0.115208685;0.001296469;0.001192241
79;0.072141854;0.103726524;0.001291044;0.001112759
80;0.061830452;0.096576631;0.001214613;0.001124419
81;0.064255693;0.099701;0.001437082;0.001449236
82;0.064528148;0.102295315;0.001243507;0.001126552
83;0.066402037;0.098863683;0.001190998;0.001029773
84;0.059548889;0.102497492;0.001353662;0.001115726
85;0.062408224;0.100277252;0.001286838;0.001108154
86;0.064122817;0.094511204;0.001145003;0.00101945
87;0.063088298;0.100014655;0.001275142;0.001166181
88;0.061371587;0.099196994;0.001192937;0.001078723
89;0.062272179;0.097796705;0.001248386;0.001083376
90;0.0582583;0.099148241;0.001258597;0.001094377
91;0.062303505;0.093953392;0.001167503;0.001028997
92;0.061690499;0.091931475;0.00120764;0.001031452
93;0.06850915;0.098974751;0.001183118;9.74432E-4
94;0.060435658;0.098019648;0.001259248;0.001122839
95;0.06156356;0.097522926;0.00130407;0.001086295
96;0.060798842;0.101359989;0.001251829;0.001087187
97;0.06167103;0.093859078;0.001241529;0.001080016
98;0.065762496;0.099594429;0.001303948;0.001065077
99;0.071990858;0.097410259;0.00122384;0.001147791
100;0.06036561;0.098503669;0.001221938;0.001016707
