sep=;
instancia;artista;t_lineal;t_binaria
1;Artista_0;0.0055152546;0.0
1;Artista_5;0.0059392666;1.643682E-4
1;Artista_10;0.006223371399999999;1.92655E-4
1;Artista_15;0.0065019892;2.1925019999999998E-4
1;Artista_19;0.0067776322;2.3548759999999998E-4
2;Artista_0;4.1088219999999996E-4;0.0
2;Artista_5;8.295457999999998E-4;1.59958E-5
2;Artista_10;0.0011047789999999997;3.25606E-5
2;Artista_15;0.0013808656;4.9078999999999995E-5
2;Artista_19;0.0016572933999999997;6.555319999999999E-5
3;Artista_0;3.9499820000000004E-4;0.0
3;Artista_5;7.88313E-4;1.647E-5
3;Artista_10;0.0010641178000000001;3.2415E-5
3;Artista_15;0.0013399852;4.85834E-5
3;Artista_19;0.0016150609999999999;6.48346E-5
4;Artista_0;4.021014E-4;0.0
4;Artista_5;8.008384E-4;1.60044E-5
4;Artista_10;0.0010765636;3.19448E-5
4;Artista_15;0.0013519572;4.8267000000000004E-5
4;Artista_19;0.0016288912;6.45756E-5
5;Artista_0;3.997652E-4;0.0
5;Artista_5;8.000807999999999E-4;1.6250999999999997E-5
5;Artista_10;0.0010760093999999999;3.22236E-5
5;Artista_15;0.0013517992;4.8685E-5
5;Artista_19;0.0016275017999999998;6.47048E-5
6;Artista_0;4.1080880000000003E-4;0.0
6;Artista_5;8.219086000000001E-4;1.60468E-5
6;Artista_10;0.0010991733999999999;3.22666E-5
6;Artista_15;0.0013754796;4.84406E-5
6;Artista_19;0.0016510440000000002;6.4718E-5
7;Artista_0;4.12821E-4;0.0
7;Artista_5;8.243667999999999E-4;1.63298E-5
7;Artista_10;0.0015950863999999998;3.51596E-5
7;Artista_15;0.0020007916000000002;6.27246E-5
7;Artista_19;0.0023043336;7.4624E-5
8;Artista_0;4.2504500000000003E-4;0.0
8;Artista_5;8.34615E-4;1.0966600000000001E-5
8;Artista_10;0.0011124296;2.3622E-5
8;Artista_15;0.0013898298;3.51562E-5
8;Artista_19;0.0016671366;4.6003799999999995E-5
9;Artista_0;4.192732E-4;0.0
9;Artista_5;8.362478E-4;1.08162E-5
9;Artista_10;0.0011134104;2.16202E-5
9;Artista_15;0.001391163;3.5754E-5
9;Artista_19;0.0016690653999999999;4.65164E-5
10;Artista_0;4.204846E-4;0.0
10;Artista_5;8.377192000000001E-4;1.2764199999999999E-5
