sep=;
Vuelta;Insertion;Selection;Merge;Quick
1;0.066483589;0.037734275;0.006593603;0.004690101
2;0.003923833;0.005264306;0.001488989;9.665E-4
3;0.005802894;0.009258435;0.001139587;5.95019E-4
4;0.00631496;0.008613711;5.01343E-4;7.06783E-4
5;0.006561352;0.015768759;5.18548E-4;5.39436E-4
6;0.010054558;0.009448807;3.26416E-4;2.54781E-4
7;0.003905844;0.006201276;3.19558E-4;2.38243E-4
8;0.003889689;0.005885235;2.90518E-4;2.44056E-4
9;0.003791306;0.00590945;2.94512E-4;2.3785E-4
10;0.003888265;0.007447819;6.65055E-4;2.3853E-4
11;0.005941396;0.009964358;2.96081E-4;2.39217E-4
12;0.005908231;0.013752191;5.00032E-4;5.27404E-4
13;0.009380138;0.017741232;5.13752E-4;5.17807E-4
14;0.009403625;0.016316655;4.70196E-4;4.59644E-4
15;0.004461256;0.006997594;2.98377E-4;2.31943E-4
16;0.003981667;0.005894784;2.99502E-4;2.704E-4
17;0.00378261;0.005918606;2.95764E-4;2.27772E-4
18;0.007122157;0.011550046;4.32181E-4;7.97461E-4
19;0.004690438;0.0086723;0.001716345;4.8439E-4
20;0.004488767;0.006311284;6.90631E-4;4.39344E-4
21;0.00387357;0.00719345;6.21848E-4;3.9534E-4
22;0.00392566;0.006002839;2.95781E-4;4.04179E-4
23;0.004895405;0.006080464;2.90188E-4;2.73319E-4
24;0.004025078;0.005969999;2.6221E-4;2.33603E-4
25;0.003848675;0.006180908;2.59219E-4;2.33815E-4
26;0.003884191;0.006000918;2.61223E-4;2.3248E-4
27;0.00396098;0.005978386;2.68004E-4;2.30158E-4
28;0.004041098;0.005994141;2.8137E-4;2.3432E-4
29;0.003991911;0.006406321;2.74912E-4;2.27547E-4
30;0.003791376;0.006222803;2.62298E-4;2.29349E-4
31;0.003896539;0.006394738;2.75816E-4;2.39222E-4
32;0.00426866;0.017120497;9.53578E-4;5.46484E-4
33;0.008038033;0.013600807;4.78501E-4;5.02862E-4
34;0.009117384;0.018006517;4.53817E-4;5.70884E-4
35;0.009046982;0.015757456;4.68737E-4;5.05741E-4
36;0.009595837;0.018032144;4.66992E-4;5.06575E-4
37;0.00980467;0.01955965;4.9768E-4;5.19302E-4
38;0.010614079;0.018131538;4.67776E-4;5.23867E-4
39;0.009781787;0.0177876;4.6873E-4;4.83292E-4
40;0.009803942;0.018071175;4.51586E-4;4.76097E-4
41;0.009797029;0.017927652;4.65819E-4;4.93414E-4
42;0.009284184;0.017489405;4.47681E-4;5.26762E-4
43;0.009091747;0.017804143;4.68788E-4;4.81242E-4
44;0.0092259;0.017864422;4.82214E-4;4.93029E-4
45;0.009551541;0.010246626;3.07923E-4;2.88573E-4
46;0.004584104;0.007022889;2.65933E-4;2.72824E-4
47;0.005077547;0.009033601;3.01805E-4;3.18678E-4
48;0.006145277;0.00844801;3.05466E-4;2.84093E-4
49;0.006099373;0.009062651;2.99031E-4;2.90838E-4
50;0.005831893;0.008795416;3.08927E-4;2.93499E-4
51;0.005995392;0.009184771;2.60373E-4;2.29777E-4
52;0.004152403;0.006581675;2.55808E-4;2.23468E-4
53;0.004070196;0.006507956;2.54282E-4;2.31778E-4
54;0.003915103;0.005888834;3.28555E-4;2.2956E-4
55;0.004008985;0.006542962;2.56579E-4;2.24679E-4
56;0.004089337;0.006229483;2.57122E-4;2.2643E-4
57;0.003792098;0.005869386;2.53666E-4;2.24621E-4
58;0.003987191;0.006120508;2.6281E-4;2.38675E-4
59;0.003804827;0.006067704;2.54459E-4;2.23128E-4
60;0.00389674;0.005997878;2.6068E-4;2.22412E-4
61;0.003860614;0.006062773;2.56552E-4;2.22975E-4
62;0.004146355;0.006085876;2.51253E-4;2.25829E-4
63;0.003952911;0.006169885;2.55735E-4;2.34918E-4
64;0.004894088;0.006119195;2.57218E-4;2.2249E-4
65;0.003894186;0.007179356;2.63504E-4;2.27254E-4
66;0.003857092;0.006005435;2.61274E-4;2.24612E-4
67;0.004810996;0.006009499;2.51849E-4;2.19608E-4
68;0.003822817;0.005885413;2.53765E-4;2.36563E-4
69;0.003882686;0.005896437;2.53294E-4;2.17429E-4
70;0.003800145;0.005978413;2.56627E-4;2.33351E-4
71;0.003679068;0.005903601;2.60577E-4;2.45043E-4
72;0.004010104;0.005928586;2.54731E-4;2.22889E-4
73;0.003680224;0.005694791;2.42058E-4;2.18188E-4
74;0.003754871;0.005668965;2.37565E-4;2.21971E-4
75;0.003700869;0.005829934;2.51487E-4;2.19243E-4
76;0.005197897;0.006942988;5.97924E-4;4.96392E-4
77;0.003884332;0.005912695;2.64086E-4;2.50072E-4
78;0.003825687;0.006041548;2.44E-4;2.17283E-4
79;0.003616592;0.0055676;2.47232E-4;2.12733E-4
80;0.00366572;0.006024337;2.54534E-4;2.30775E-4
81;0.00392225;0.006306203;2.56933E-4;2.25829E-4
82;0.004645332;0.006084778;2.5151E-4;2.2718E-4
83;0.004041383;0.006224665;2.51084E-4;2.36624E-4
84;0.003938199;0.005925824;2.61826E-4;2.41861E-4
85;0.003969452;0.006067275;2.59999E-4;2.34727E-4
86;0.004023062;0.005950882;2.46376E-4;2.30283E-4
87;0.003960257;0.005857557;2.42784E-4;2.21161E-4
88;0.003622337;0.005846125;2.32441E-4;2.15637E-4
89;0.003830396;0.00619349;2.40158E-4;2.08698E-4
90;0.003538874;0.005886708;2.42559E-4;2.2107E-4
91;0.003720449;0.005703077;2.28361E-4;2.34749E-4
92;0.00376902;0.005958088;2.34272E-4;2.79758E-4
93;0.0036905;0.0057196;2.40038E-4;2.19258E-4
94;0.003798258;0.006659603;3.63932E-4;4.53183E-4
95;0.00375572;0.006052054;2.5833E-4;2.35106E-4
96;0.00388057;0.006032319;2.57472E-4;2.34387E-4
97;0.004018489;0.006076846;2.64687E-4;2.28345E-4
98;0.00417802;0.005995484;2.56868E-4;2.54456E-4
99;0.003857874;0.00637072;2.63907E-4;2.31739E-4
100;0.005172146;0.00626406;2.54528E-4;2.37871E-4
